SYNTAX	DESCRIPTION					CLASS		CATEGORY	KEYWORDS	EXAMPLE				EXAMPLE OUTPUT
+	Add						Primitive	Number		add addition	+ 1 3				4
-@0	Convert digit to number				Idiom		String		digits number	-@0 @5				5
⇌⍉	Rotate a matrix 90 degrees counterclockwise	Idiom		Array		rotate matrix	♭ ⇌⍉ ↯2_2⇡4			[1 3 0 2]
⇌≡⇌	Rotate a matrix 180 degrees counterclockwise	Idiom		Array		rotate matrix	♭⇌≡⇌↯2_2 ⇡4			[3 2 1 0]
⊜□⊸≠	Split on an element				Idiom		Array		split string	⊜□⊸≠ @\s "split this on spaces"	["split"│"this"│"on"│"spaces"]
/+	Sum an array					Idiom		Array		sum		/+⇡5				10
/↥	Find the largest element in an array		Idiom		Array		max maximum	/↥⇡5				4
/↧	Find the smallest element in an array		Idiom		Array		min minimum	/↧⇡5				0
⍏	Invert a permutation				Primitive	Maths		inverse		⍏ [1 2 0 3]			[2 0 1 3]
-⊸¬	linearly map [0, 1] onto [-1, 1]	Idiom	Number	wrench stretch	⁅₁₀ -⊸¬ ÷⟜⇡ 5	[¯1 ¯0.6 ¯0.2 0.2 0.6]
∿+η	cosine	Idiom	Number	cos trig math	∿+η 0	1
∿	sine	Primitive	Number	sin trig math	∿ 0	0
⍜°√/+	euclidean norm	Idiom	Number	distance vector length size	⍜°√/+ 3_4	5
/+⌵	taxicab norm	Idiom	Number	distance vector length size manhattan	/+⌵ ¯3_2	5
/↥⌵	Chebyshev norm	Idiom	Number	distance vector length size maximum	/↥⌵ ¯4_7	7
+@a⇡26	lowercase latin alphabet	Idiom	String	alphabet letter	+@a⇡26	"abcdefghijklmnopqrstuvwxyz"
⌵	uppercase	Primitive	String	capitalize capital letter	⌵ "HeLlO WoRlD"	"HELLO WORLD"
¯	toggle case	Primitive	String	uppercase capital lowercase letter	¯ "HeLlO WoRlD"	"hElLo wOrLd"
